elevation,temperature,humidity,soil_TN,soil_TP,soil_AP,soil_AN,health_class
3798.11,15.41,32.08,0.0421,0.0234,0.00053,0.00199,1
2888.54,22.77,19.94,0.0146,0.0115,0.0005,0.001,1
262.36,-17.16,63.36,0.1014,0.0468,0.00096,0.00268,1
969.79,24.51,71.09,0.069,0.0336,0.0005,0.00137,2
449.92,16.12,82.14,0.0585,0.0467,0.00055,0.0027,1
693.4,39.32,11.38,0.0384,0.0207,0.0005,0.00162,0
540.0,39.0,23.43,0.0392,0.0196,0.0005,0.00178,0
2151.33,27.79,10.8,0.036,0.0253,0.00057,0.001,0
99.47,29.3,16.03,0.0344,0.0107,0.0005,0.001,0
1030.88,27.46,31.31,0.0333,0.0087,0.0005,0.00102,0
105.05,-14.57,52.3,0.1596,0.0586,0.00115,0.00463,1
1788.43,15.7,48.48,0.1247,0.0507,0.00154,0.00458,2
734.37,27.09,63.78,0.1499,0.0563,0.00108,0.00394,2
2977.0,47.25,16.61,0.0464,0.0304,0.0005,0.00142,0
3505.93,2.89,81.37,0.1518,0.083,0.002,0.00581,1
767.86,6.75,76.8,0.0622,0.0209,0.00061,0.002,1
2316.92,-8.78,55.28,0.0595,0.0272,0.00083,0.00112,0
1980.03,31.67,28.68,0.1094,0.0687,0.00148,0.00478,0
266.73,0.85,87.59,0.1716,0.0918,0.00138,0.0042,1
410.11,-3.41,73.98,0.1038,0.0352,0.00084,0.00327,1
3502.73,8.29,36.45,0.0616,0.0342,0.00057,0.00121,0
382.02,-6.59,82.01,0.0564,0.0235,0.0005,0.00274,0
317.8,36.98,36.84,0.0896,0.0377,0.00066,0.00306,0
112.26,13.09,41.87,0.076,0.0223,0.0005,0.00203,1
414.26,33.31,21.52,0.0413,0.021,0.00056,0.001,0
391.14,12.58,76.6,0.0414,0.0334,0.0005,0.00175,1
3531.39,8.04,72.61,0.0852,0.0331,0.0005,0.00232,1
3425.38,25.6,68.85,0.0652,0.0277,0.00066,0.00323,1
1245.46,31.32,24.15,0.0149,0.013,0.0005,0.001,0
931.48,36.77,18.27,0.0195,0.018,0.0005,0.001,0
1208.92,37.16,14.52,0.0436,0.0157,0.0005,0.001,0
2006.55,5.76,57.21,0.0529,0.0322,0.00081,0.00255,1
235.3,25.73,52.74,0.1834,0.0765,0.00292,0.00733,3
320.89,33.11,41.02,0.0942,0.0384,0.00052,0.00166,1
1528.65,3.09,56.74,0.0751,0.0318,0.00081,0.00259,1
3016.99,-5.9,89.79,0.0978,0.0263,0.00059,0.00167,0
468.99,21.87,10.54,0.0183,0.0132,0.0005,0.001,1
246.74,16.96,78.76,0.0932,0.031,0.00074,0.00288,2
113.79,17.99,69.85,0.071,0.0189,0.00052,0.00174,2
473.64,11.91,79.91,0.1644,0.0886,0.00102,0.00795,2
2654.72,-5.33,81.63,0.0897,0.0567,0.00091,0.00204,0
191.04,-19.95,63.13,0.0993,0.0887,0.00136,0.00353,1
630.01,30.28,31.86,0.083,0.022,0.00052,0.00237,0
3452.26,20.26,54.26,0.0269,0.0201,0.0005,0.001,1
3127.93,-7.01,52.87,0.0492,0.0151,0.0005,0.00158,0
1696.03,22.6,52.37,0.0586,0.0302,0.00059,0.00145,2
417.42,22.41,10.42,0.0252,0.0123,0.0005,0.00103,1
1248.19,1.69,31.18,0.0551,0.0296,0.0005,0.00194,0
508.52,33.35,56.25,0.0929,0.0408,0.00126,0.00153,1
856.42,40.36,15.32,0.0236,0.0127,0.0005,0.00112,0
297.39,-0.04,69.15,0.0789,0.0629,0.00129,0.0013,1
3354.06,0.37,93.4,0.1459,0.0645,0.00197,0.00559,0
244.81,-0.69,51.44,0.1052,0.0749,0.0012,0.00439,1
1062.38,-1.41,57.16,0.0517,0.0414,0.0005,0.00122,0
2448.27,37.12,21.57,0.0472,0.0213,0.0005,0.00104,0
660.1,-18.58,80.29,0.0539,0.0326,0.00055,0.00184,0
811.4,24.83,47.47,0.1354,0.0589,0.00185,0.00387,2
1866.85,-19.46,41.49,0.0736,0.0382,0.00141,0.00238,0
3325.86,6.27,68.56,0.0578,0.0459,0.0005,0.00177,1
377.04,12.17,78.72,0.1625,0.0733,0.00201,0.00676,2
327.07,19.51,73.35,0.1181,0.0542,0.00177,0.00423,2
1120.62,46.2,15.46,0.0352,0.0205,0.0006,0.00102,0
3967.16,9.51,66.77,0.1492,0.0711,0.00198,0.00467,1
2536.82,-6.62,59.09,0.0638,0.0368,0.00091,0.001,0
2609.98,-21.71,39.84,0.0726,0.0372,0.00098,0.00227,0
3472.59,20.62,48.87,0.0708,0.029,0.00061,0.00214,1
199.49,-0.59,51.1,0.0873,0.0285,0.0005,0.00202,1
1665.49,-23.06,84.82,0.0651,0.0194,0.00062,0.00188,0
470.46,-7.1,69.91,0.0685,0.0566,0.00102,0.003,1
1567.36,31.59,18.94,0.029,0.0099,0.0005,0.001,0
1887.62,33.09,34.53,0.0801,0.0202,0.0005,0.00116,0
232.82,24.45,62.72,0.128,0.0662,0.00083,0.00494,2
1879.64,-0.66,40.46,0.077,0.0215,0.0005,0.00259,0
53.62,24.67,48.36,0.0897,0.0402,0.00063,0.00264,2
2366.14,33.33,15.74,0.0241,0.0115,0.0005,0.00124,0
993.02,-7.52,66.57,0.1491,0.062,0.00186,0.0054,1
424.91,26.56,50.2,0.086,0.0506,0.00128,0.00153,2
611.55,14.91,34.98,0.0317,0.0216,0.0005,0.00133,1
455.67,-3.23,85.97,0.0664,0.0429,0.00076,0.00132,0
608.41,38.04,18.96,0.0269,0.0102,0.0005,0.001,0
464.12,-10.25,85.05,0.0802,0.0423,0.00078,0.00349,0
411.04,-2.62,58.87,0.0609,0.0431,0.00077,0.00257,1
1764.13,47.06,10.97,0.0197,0.0125,0.0005,0.001,0
682.39,15.5,96.19,0.086,0.0391,0.00082,0.00315,1
255.65,12.5,64.93,0.0996,0.0353,0.00063,0.00199,1
550.83,36.08,73.4,0.095,0.0462,0.00135,0.00317,1
673.15,7.96,51.3,0.0957,0.0549,0.00161,0.00249,1
1950.53,4.48,85.05,0.1727,0.0693,0.00204,0.00333,1
216.76,43.01,54.68,0.0549,0.0271,0.0005,0.00112,0
672.95,15.46,78.24,0.0816,0.0513,0.00099,0.00342,2
923.93,28.51,36.01,0.0546,0.0228,0.0005,0.00225,0
439.24,-11.11,65.19,0.0655,0.0547,0.0005,0.00278,1
2188.26,-12.41,61.68,0.033,0.0249,0.0005,0.00124,0
2319.59,-6.33,57.88,0.0325,0.0203,0.0005,0.0014,0
535.78,29.2,67.51,0.0723,0.0187,0.0005,0.001,1
515.89,8.19,67.96,0.0524,0.0256,0.0005,0.00162,1
2577.86,-4.75,69.0,0.0396,0.0267,0.0005,0.001,0
101.54,27.14,71.26,0.064,0.0158,0.0005,0.00194,2
577.86,45.52,19.04,0.0278,0.0109,0.0005,0.00116,0
225.14,21.09,59.1,0.0842,0.0262,0.0005,0.00154,2
349.28,10.9,54.74,0.0671,0.0421,0.00053,0.00175,1
1235.79,24.97,18.01,0.0194,0.0158,0.0005,0.001,1
36.13,14.61,46.0,0.1126,0.0425,0.00074,0.00179,1
1982.52,11.61,23.67,0.0155,0.0151,0.0005,0.001,0
167.92,40.98,53.32,0.0463,0.0386,0.00066,0.00155,1
1116.78,20.43,56.73,0.057,0.0408,0.00078,0.00182,2
2298.27,30.16,14.14,0.0261,0.0161,0.0005,0.001,0
2310.48,28.35,30.55,0.0213,0.0154,0.0005,0.001,0
2877.34,-7.77,38.76,0.055,0.0149,0.0005,0.001,0
1392.39,-18.27,56.43,0.0436,0.0274,0.00072,0.00175,0
